id_tx,id_cliente,id_ciudad,categoria,monto,fecha
62,735,4,mercado,22.29,2025-11-16
63,236,5,mercado,25.32,2025-08-26
64,410,1,ropa,9.2,2025-12-26
65,716,1,deportes,177.1,2025-09-02
66,341,3,hogar,69.95,2025-12-02
67,665,1,juguetes,132.7,2025-12-11
68,610,1,juguetes,49.65,2025-02-24
69,521,3,mercado,52.46,2025-11-16
70,455,1,ropa,47.5,2025-12-26
71,776,1,ropa,10.87,2025-07-21
72,94,1,mercado,77.62,2025-09-03
73,314,7,electronica,48.96,2025-02-27
74,77,1,ropa,31.52,2025-02-12
75,730,1,mercado,91.61,2025-06-27
76,67,2,electronica,307.49,2025-05-13
77,790,3,libros,126.21,2025-03-10
78,459,1,hogar,258.33,2025-09-21
79,256,1,electronica,193.44,2025-06-28
80,73,1,hogar,109.82,2025-12-09
81,675,1,ropa,32.89,2025-01-22
82,526,1,mercado,21.79,2025-10-02
83,484,4,electronica,32.24,2025-07-07
84,108,2,ropa,44.05,2025-07-18
85,154,1,mercado,64.28,2025-11-28
86,677,2,libros,11.64,2025-04-16
87,516,7,hogar,9.21,2025-06-02
88,60,2,hogar,355.86,2025-09-24
89,340,1,mercado,174.1,2025-03-03
90,153,7,ropa,153.8,2025-06-08
91,727,3,mercado,7.68,2025-08-05
92,99,2,ropa,271.39,2025-04-12
93,51,2,mercado,104.29,2025-10-14
94,88,2,ropa,166.4,2025-06-25
95,208,3,hogar,48.94,2025-01-18
96,408,3,mercado,148.68,2025-06-20
97,6,6,electronica,35.73,2025-04-09
98,296,1,electronica,145.27,2025-05-13
99,542,2,ropa,11.33,2025-06-10
100,266,3,hogar,57.99,2025-08-28
101,626,2,electronica,168.63,2025-06-23
102,314,1,hogar,89.53,2025-05-04
103,257,1,electronica,611.31,2025-01-13
104,38,2,electronica,31.01,2025-10-02
105,476,2,electronica,157.71,2025-04-25
106,738,2,deportes,112.51,2025-01-02
107,136,2,electronica,37.72,2025-11-20
108,509,1,hogar,200.06,2025-11-07
109,49,2,electronica,46.87,2025-07-25
110,659,2,mercado,15.47,2025-12-18
111,42,1,hogar,89.66,2025-03-24
112,321,1,mercado,10.78,2025-03-05
113,611,1,ropa,35.69,2025-06-12
114,247,5,ropa,67.4,2025-02-09
115,338,1,ropa,91.82,2025-03-12
116,491,1,electronica,150.18,2025-05-15
117,412,2,electronica,974.91,2025-07-13
118,338,2,electronica,20.05,2025-02-04
119,506,4,libros,77.12,2025-07-23
120,454,2,ropa,118.32,2025-01-02
121,532,2,hogar,99.06,2025-06-03
122,172,2,ropa,112.61,2025-11-02
123,668,1,mercado,196.95,2025-03-21
124,289,2,electronica,393.99,2025-05-12
125,783,7,ropa,29.22,2025-11-07
126,514,1,hogar,56.28,2025-04-20
127,622,1,electronica,161.57,2025-04-27
128,147,2,libros,6.25,2025-12-10
129,716,2,ropa,92.49,2025-01-04
130,788,2,deportes,49.36,2025-02-24
131,127,2,electronica,583.9,2025-09-23
132,516,2,mercado,49.63,2025-07-19
133,769,1,electronica,101.59,2025-12-26
134,188,2,hogar,180.33,2025-05-02
135,506,1,libros,61.62,2025-01-11
136,479,2,mercado,58.51,2025-08-20
137,348,1,mercado,62.83,2025-12-13
138,14,2,ropa,73.09,2025-01-08
139,582,3,ropa,66.03,2025-05-11
140,731,2,mercado,58.28,2025-11-23
141,583,3,libros,48.04,2025-07-07
142,652,2,mercado,11.97,2025-09-28
143,408,2,ropa,192.31,2025-06-07
144,584,5,libros,115.56,2025-07-07
145,605,6,deportes,164.44,2025-10-08
146,47,2,deportes,40.89,2025-12-11
147,697,3,ropa,8.7,2025-02-16
148,631,1,electronica,45.03,2025-04-02
149,643,2,electronica,903.11,2025-12-03
150,165,2,electronica,726.15,2025-10-08
151,350,6,mercado,79.37,2025-05-11
152,93,1,electronica,280.08,2025-11-16
153,298,4,libros,39.07,2025-02-21
154,518,1,ropa,64.0,2025-05-15
155,332,3,electronica,139.16,2025-04-11
156,84,4,libros,74.5,2025-10-22
157,654,1,electronica,693.63,2025-08-28
158,726,4,ropa,157.47,2025-01-15
159,253,1,libros,95.96,2025-01-15
160,619,1,hogar,124.67,2025-06-25
161,165,2,deportes,46.22,2025-11-06
162,414,1,mercado,60.68,2025-04-08
163,7,2,electronica,37.35,2025-04-11
164,604,2,hogar,49.72,2025-02-01
165,117,2,electronica,87.43,2025-03-28
166,603,2,hogar,59.54,2025-05-24
167,546,2,deportes,64.79,2025-11-21
168,384,1,mercado,98.98,2025-11-23
169,584,2,mercado,20.48,2025-01-14
170,69,1,electronica,56.15,2025-06-25
171,620,7,hogar,97.63,2025-08-24
172,664,4,juguetes,10.03,2025-09-23
173,240,5,mercado,6.68,2025-04-28
174,121,2,mercado,42.44,2025-08-24
175,207,1,ropa,93.49,2025-10-11
176,54,3,hogar,73.33,2025-02-12
177,135,3,electronica,93.51,2025-07-09
178,588,2,hogar,255.62,2025-12-06
179,348,2,electronica,446.69,2025-04-18
180,755,2,libros,32.75,2025-03-13
181,348,6,electronica,443.63,2025-11-12
182,246,1,electronica,503.42,2025-11-12
183,263,1,electronica,526.47,2025-08-09
184,348,1,deportes,73.65,2025-03-08
185,106,4,ropa,25.14,2025-06-16
186,644,6,mercado,40.44,2025-09-24
187,423,3,libros,150.03,2025-11-11
188,479,6,mercado,7.74,2025-12-04
189,103,5,electronica,183.31,2025-07-18
190,783,1,deportes,96.45,2025-04-01
191,345,2,libros,27.45,2025-11-06
192,659,2,mercado,22.3,2025-11-09
193,587,4,mercado,11.33,2025-05-11
194,195,2,mercado,5.09,2025-05-20
195,539,2,ropa,21.83,2025-11-22
196,398,1,ropa,60.94,2025-06-26
197,88,4,mercado,51.99,2025-12-08
198,440,2,hogar,24.0,2025-12-07
199,243,2,juguetes,45.64,2025-08-08
200,396,5,hogar,198.67,2025-03-17
201,17,2,juguetes,38.36,2025-11-27
202,13,2,deportes,484.93,2025-03-28
203,199,3,ropa,94.89,2025-12-08
204,515,2,electronica,49.08,2025-02-02
205,9,7,hogar,147.12,2025-02-08
206,584,1,ropa,50.54,2025-06-16
207,714,2,electronica,472.82,2025-01-05
208,496,1,electronica,107.07,2025-09-13
209,110,2,hogar,8.58,2025-10-26
210,474,4,mercado,8.42,2025-03-08
211,394,2,electronica,181.69,2025-10-25
212,255,2,mercado,34.51,2025-07-10
213,365,1,electronica,32.25,2025-05-28
214,636,1,electronica,1091.83,2025-10-08
215,306,3,electronica,1235.12,2025-06-20
216,358,2,electronica,56.84,2025-08-09
217,606,1,ropa,5.67,2025-07-14
218,495,1,ropa,45.81,2025-06-07
219,670,1,mercado,82.24,2025-01-12
220,353,3,hogar,19.24,2025-06-02
221,329,4,deportes,195.57,2025-08-24
222,621,4,ropa,82.46,2025-06-16
223,296,4,mercado,123.8,2025-02-03
224,57,2,mercado,54.4,2025-02-11
225,70,6,electronica,224.55,2025-08-18
226,1,2,electronica,171.16,2025-03-18
227,437,4,electronica,393.96,2025-01-03
228,549,3,mercado,9.26,2025-05-08
229,451,3,hogar,137.72,2025-10-16
230,367,5,hogar,159.19,2025-09-03
231,573,1,hogar,328.69,2025-09-16
232,68,1,libros,11.64,2025-07-15
233,504,6,mercado,23.74,2025-11-16
234,480,1,mercado,7.02,2025-05-25
235,36,3,ropa,62.48,2025-07-19
236,507,2,mercado,75.4,2025-10-28
237,504,2,mercado,30.97,2025-08-04
238,236,2,deportes,36.38,2025-04-26
239,271,2,mercado,69.64,2025-03-08
240,414,2,ropa,94.29,2025-07-07
241,780,5,electronica,54.62,2025-08-12
242,310,3,deportes,87.0,2025-02-16
243,131,2,hogar,130.8,2025-04-25
244,692,2,ropa,155.82,2025-03-04
245,745,1,mercado,61.11,2025-11-03
246,535,3,mercado,39.11,2025-09-07
247,418,2,hogar,97.21,2025-07-24
248,697,2,electronica,115.84,2025-08-17
249,36,1,juguetes,19.87,2025-11-22
250,615,5,ropa,27.61,2025-01-07
251,250,5,ropa,27.43,2025-04-16
252,429,3,ropa,39.78,2025-10-23
253,800,3,mercado,52.47,2025-07-08
254,780,7,libros,44.35,2025-07-17
255,654,4,deportes,40.51,2025-02-13
256,495,2,libros,28.94,2025-08-23
257,128,5,hogar,163.41,2025-06-25
258,96,1,mercado,29.32,2025-03-16
259,191,2,mercado,19.73,2025-10-14
260,280,7,libros,70.8,2025-05-22
261,259,2,electronica,245.38,2025-10-23
262,276,2,deportes,81.57,2025-01-20
263,109,2,mercado,5.21,2025-08-22
264,157,6,deportes,87.04,2025-12-23
265,647,2,mercado,52.34,2025-03-11
266,775,2,mercado,16.65,2025-01-11
267,29,5,electronica,607.81,2025-10-16
268,609,2,hogar,63.04,2025-09-12
269,159,1,electronica,522.9,2025-06-01
270,281,4,electronica,319.14,2025-05-02
271,188,1,ropa,69.67,2025-02-26
272,95,3,electronica,187.53,2025-10-06
273,640,2,juguetes,54.91,2025-07-22
274,140,3,electronica,173.64,2025-11-01
275,456,6,libros,186.1,2025-01-03
276,270,2,hogar,5.12,2025-09-21
277,315,1,electronica,428.02,2025-06-13
278,489,1,electronica,40.49,2025-12-25
279,529,1,ropa,110.44,2025-01-24
280,656,4,mercado,14.18,2025-07-15
281,78,1,juguetes,10.42,2025-11-06
282,527,3,mercado,18.91,2025-01-20
283,263,1,deportes,76.1,2025-02-02
284,177,2,electronica,25.6,2025-11-13
285,240,2,deportes,123.91,2025-12-25
286,538,1,mercado,28.49,2025-12-17
287,16,2,hogar,125.72,2025-01-05
288,262,3,ropa,99.18,2025-08-19
289,348,5,electronica,121.13,2025-06-08
290,639,2,ropa,87.3,2025-03-17
291,763,2,ropa,11.33,2025-01-21
292,636,1,electronica,65.67,2025-01-08
293,373,2,mercado,25.99,2025-01-16
294,395,2,libros,38.73,2025-03-03
295,691,2,deportes,41.3,2025-02-26
296,225,1,hogar,291.0,2025-07-02
297,186,3,electronica,125.38,2025-10-15
298,385,1,ropa,29.79,2025-07-01
299,406,4,electronica,79.07,2025-11-05
300,246,7,electronica,213.67,2025-04-20
301,107,5,electronica,295.63,2025-11-06
302,391,4,ropa,49.37,2025-07-22
303,798,2,mercado,24.25,2025-09-01
304,593,3,electronica,816.36,2025-06-08
305,659,1,deportes,92.26,2025-01-08
306,212,6,electronica,113.07,2025-01-04
307,647,1,mercado,19.39,2025-10-25
308,523,7,hogar,60.12,2025-08-19
309,526,3,libros,19.12,2025-12-11
310,536,2,mercado,55.45,2025-11-10
311,526,1,electronica,286.95,2025-03-05
312,239,2,ropa,59.97,2025-03-17
313,52,1,electronica,347.6,2025-12-13
314,193,2,hogar,313.83,2025-12-17
315,407,1,electronica,272.57,2025-07-11
316,614,1,electronica,224.69,2025-08-06
317,728,4,juguetes,20.26,2025-08-22
318,747,1,ropa,26.49,2025-05-20
319,33,1,electronica,207.14,2025-03-17
320,693,2,hogar,47.65,2025-12-24
321,602,2,hogar,89.7,2025-04-15
322,587,2,hogar,45.34,2025-10-13
323,164,1,libros,9.83,2025-03-24
324,639,2,electronica,156.89,2025-10-16
325,30,2,mercado,21.28,2025-11-05
326,1,6,ropa,242.39,2025-03-02
327,794,3,libros,30.89,2025-09-19
328,611,1,electronica,172.06,2025-09-14
329,107,2,juguetes,23.51,2025-11-27
330,771,5,electronica,468.07,2025-06-19
331,62,2,ropa,12.62,2025-02-18
332,157,1,ropa,36.5,2025-12-07
333,233,6,ropa,33.81,2025-09-07
334,593,2,hogar,27.99,2025-02-20
335,519,7,mercado,71.78,2025-07-27
336,125,1,hogar,104.03,2025-05-08
337,557,5,juguetes,61.98,2025-07-02
338,15,2,libros,28.2,2025-02-23
339,409,1,libros,50.3,2025-05-19
340,661,1,ropa,67.25,2025-04-05
341,488,1,mercado,50.66,2025-04-07
342,728,2,deportes,171.78,2025-06-24
343,292,4,electronica,42.16,2025-03-13
344,308,2,hogar,126.77,2025-08-24
345,31,5,juguetes,8.32,2025-11-13
346,164,1,libros,67.07,2025-01-08
347,129,7,mercado,134.12,2025-10-24
348,454,1,ropa,237.59,2025-02-23
349,360,2,hogar,56.93,2025-09-17
350,705,2,electronica,323.69,2025-11-03
351,74,2,juguetes,41.06,2025-09-10
352,394,3,libros,83.41,2025-01-04
353,439,1,mercado,75.27,2025-07-03
354,70,2,electronica,115.21,2025-06-13
355,653,4,hogar,18.16,2025-05-14
356,642,2,hogar,141.27,2025-11-18
357,654,3,mercado,54.88,2025-03-03
358,681,3,electronica,202.36,2025-11-27
359,176,5,libros,20.68,2025-05-06
360,136,3,libros,48.14,2025-02-09
361,122,2,mercado,62.41,2025-10-05
362,320,1,libros,105.99,2025-03-14
363,466,1,libros,89.93,2025-06-10
364,737,2,hogar,52.74,2025-10-17
365,20,2,deportes,159.19,2025-02-13
366,29,1,mercado,78.26,2025-08-10
367,53,1,deportes,201.74,2025-03-03
368,575,1,mercado,98.34,2025-07-12
369,115,1,hogar,14.59,2025-07-01
370,585,7,deportes,211.8,2025-09-24
371,522,3,deportes,94.72,2025-07-18
372,267,7,mercado,68.46,2025-08-04
373,91,4,deportes,321.34,2025-02-03
374,344,2,mercado,122.28,2025-12-28
375,658,4,mercado,45.92,2025-12-24
376,263,2,electronica,250.27,2025-04-14
377,568,2,libros,99.78,2025-10-01
378,275,1,libros,46.05,2025-03-14
379,780,1,hogar,456.22,2025-08-25
380,584,2,ropa,8.29,2025-01-01
381,301,2,mercado,90.39,2025-02-04
382,35,2,mercado,15.26,2025-04-09
383,711,2,juguetes,86.54,2025-11-04
384,782,3,ropa,13.02,2025-11-05
385,555,1,libros,13.98,2025-02-02
386,798,1,ropa,40.53,2025-10-09
387,447,3,mercado,165.9,2025-11-24
388,626,5,hogar,56.49,2025-05-06
389,647,3,libros,36.27,2025-01-09
390,776,3,mercado,161.28,2025-05-23
391,352,1,ropa,84.29,2025-08-06
392,310,7,electronica,130.11,2025-06-03
393,746,2,ropa,60.76,2025-09-28
394,576,3,hogar,114.26,2025-04-15
395,106,2,electronica,321.71,2025-02-07
396,114,3,libros,39.32,2025-06-18
397,240,2,mercado,16.91,2025-09-09
398,255,1,electronica,216.12,2025-06-14
399,780,3,hogar,24.04,2025-07-01
400,10,1,ropa,341.3,2025-12-07
401,401,3,electronica,180.0,2025-02-15
402,573,2,mercado,55.64,2025-09-13
403,177,2,electronica,8.83,2025-10-09
404,498,2,mercado,65.18,2025-08-27
405,123,2,juguetes,86.2,2025-02-13
406,578,7,deportes,65.31,2025-07-27
407,75,4,ropa,92.28,2025-06-26
408,141,2,deportes,101.47,2025-02-06
409,355,1,electronica,350.02,2025-11-04
410,738,1,libros,92.63,2025-08-24
411,244,3,deportes,22.16,2025-03-04
412,393,2,mercado,10.22,2025-05-24
413,260,6,hogar,77.32,2025-10-14
414,506,3,electronica,42.03,2025-12-23
415,439,3,hogar,91.31,2025-04-19
416,127,2,ropa,44.42,2025-04-06
417,32,1,electronica,105.89,2025-12-12
418,169,3,electronica,301.81,2025-06-23
419,299,2,deportes,100.26,2025-09-19
420,339,1,electronica,229.93,2025-07-15
421,538,7,mercado,26.57,2025-07-27
422,518,2,mercado,42.81,2025-06-25
423,185,2,electronica,726.61,2025-12-10
424,147,1,ropa,60.31,2025-08-28
425,619,1,ropa,78.42,2025-10-17
426,94,2,deportes,43.81,2025-05-07
427,214,2,ropa,79.56,2025-04-12
428,580,2,mercado,379.06,2025-05-19
429,470,6,electronica,197.74,2025-11-19
430,227,4,ropa,22.57,2025-08-05
431,46,2,mercado,60.41,2025-05-01
432,729,3,hogar,13.49,2025-07-12
433,365,3,juguetes,27.96,2025-03-21
434,740,2,mercado,141.59,2025-09-08
435,230,2,deportes,263.66,2025-05-19
436,686,5,juguetes,279.58,2025-09-03
437,166,1,electronica,1064.06,2025-08-14
438,481,2,ropa,89.74,2025-01-08
439,596,2,ropa,73.03,2025-06-28
440,695,2,electronica,314.48,2025-07-16
441,782,3,electronica,208.36,2025-01-20
442,158,1,ropa,64.36,2025-01-02
443,321,5,electronica,201.0,2025-08-17
444,529,2,deportes,48.47,2025-04-15
445,265,1,ropa,155.17,2025-07-21
446,88,5,hogar,25.16,2025-12-24
447,618,4,ropa,59.41,2025-08-13
448,536,1,ropa,75.02,2025-10-01
449,706,1,electronica,117.46,2025-03-05
450,441,2,juguetes,34.73,2025-10-19
451,136,3,hogar,303.14,2025-12-06
452,293,1,mercado,12.92,2025-01-06
453,115,2,ropa,169.47,2025-10-01
454,295,2,libros,44.26,2025-09-20
455,61,1,ropa,48.12,2025-06-19
456,144,3,electronica,48.93,2025-03-20
457,697,2,hogar,298.0,2025-06-22
458,211,1,mercado,11.81,2025-05-23
459,450,1,electronica,54.51,2025-08-15
460,453,1,mercado,50.3,2025-04-21
461,23,1,hogar,25.5,2025-06-13
462,594,2,libros,47.0,2025-12-02
463,126,1,ropa,104.34,2025-03-09
464,330,2,electronica,145.79,2025-03-22
465,281,1,mercado,60.8,2025-02-05
466,94,2,mercado,24.6,2025-02-06
467,307,1,hogar,116.55,2025-07-25
468,162,3,electronica,70.15,2025-07-27
469,630,1,electronica,574.56,2025-12-08
470,759,7,mercado,185.98,2025-07-19
471,329,1,deportes,27.7,2025-03-07
472,692,3,electronica,253.0,2025-04-23
473,320,3,electronica,94.79,2025-05-24
474,472,2,deportes,41.12,2025-10-16
475,574,1,ropa,37.2,2025-08-02
476,496,3,electronica,45.22,2025-08-03
477,347,2,deportes,94.59,2025-04-11
478,518,2,electronica,172.14,2025-02-02
479,211,6,mercado,50.92,2025-04-26
480,167,1,ropa,175.66,2025-02-24
481,753,3,hogar,23.26,2025-12-07
482,445,2,mercado,61.79,2025-04-22
483,749,1,mercado,10.24,2025-10-23
484,669,2,mercado,31.31,2025-11-24
485,363,3,electronica,286.36,2025-03-19
486,402,3,juguetes,57.2,2025-08-10
487,390,1,electronica,49.09,2025-07-11
488,537,2,hogar,209.05,2025-09-16
489,670,2,libros,41.6,2025-06-21
490,469,1,deportes,93.77,2025-07-03
491,97,2,libros,69.13,2025-03-11
492,34,5,hogar,148.32,2025-02-25
493,387,3,electronica,184.49,2025-02-26
494,512,2,deportes,50.77,2025-02-19
495,562,2,hogar,62.08,2025-12-12
496,616,6,mercado,44.51,2025-10-06
497,185,2,hogar,46.83,2025-05-14
498,750,4,hogar,146.14,2025-06-02
499,333,7,ropa,125.69,2025-09-17
500,10,2,electronica,31.47,2025-02-24
501,270,6,mercado,88.96,2025-03-19
502,286,5,electronica,43.9,2025-11-27
503,211,2,ropa,271.48,2025-05-28
504,645,1,mercado,32.7,2025-08-19
505,125,2,ropa,44.09,2025-01-15
506,631,1,ropa,128.59,2025-04-17
507,315,2,electronica,131.01,2025-09-24
508,94,2,ropa,52.36,2025-10-08
509,216,6,electronica,115.81,2025-03-21
510,695,4,libros,9.4,2025-07-19
511,633,2,electronica,206.12,2025-07-21
512,610,2,electronica,79.56,2025-07-13
513,67,6,electronica,129.92,2025-10-23
514,654,1,mercado,31.68,2025-12-27
515,507,2,libros,68.64,2025-02-24
516,538,7,mercado,107.72,2025-08-28
517,709,2,electronica,445.54,2025-06-17
518,723,2,ropa,156.38,2025-05-11
519,403,1,ropa,74.16,2025-05-07
520,293,2,ropa,51.75,2025-04-13
521,361,6,libros,143.63,2025-01-25
522,334,3,mercado,26.15,2025-10-23
523,289,2,electronica,116.86,2025-10-02
524,540,3,ropa,19.87,2025-08-03
525,297,3,ropa,29.9,2025-03-16
526,225,1,juguetes,39.34,2025-04-27
527,694,1,juguetes,51.52,2025-08-15
528,795,1,ropa,7.2,2025-12-14
529,204,1,mercado,139.56,2025-06-05
530,312,6,ropa,177.67,2025-11-05
531,796,2,libros,53.62,2025-01-28
532,256,3,electronica,157.96,2025-05-11
533,91,2,hogar,146.2,2025-11-26
534,751,2,mercado,7.31,2025-12-07
535,89,3,electronica,673.65,2025-09-13
536,422,2,ropa,98.42,2025-01-19
537,555,1,hogar,76.6,2025-05-07
538,111,2,ropa,166.45,2025-01-07
539,222,1,electronica,1543.14,2025-02-05
540,291,1,mercado,51.91,2025-03-20
541,748,1,electronica,111.06,2025-05-03
542,790,2,electronica,156.69,2025-09-20
543,126,3,electronica,474.07,2025-11-04
544,122,2,electronica,238.13,2025-08-17
545,327,6,hogar,71.32,2025-05-15
546,472,2,mercado,34.09,2025-10-12
547,280,3,juguetes,129.57,2025-11-04
548,502,7,electronica,177.27,2025-02-22
549,790,3,ropa,66.68,2025-06-28
550,508,7,libros,98.77,2025-07-04
551,367,1,ropa,5.44,2025-06-26
552,189,1,libros,141.47,2025-09-16
553,135,2,mercado,152.94,2025-06-19
554,389,3,mercado,112.42,2025-08-06
555,717,5,ropa,40.91,2025-03-28
556,208,2,electronica,243.04,2025-02-13
557,88,2,electronica,158.29,2025-11-21
558,555,2,electronica,127.3,2025-05-10
559,156,2,ropa,94.8,2025-07-12
560,703,2,electronica,160.68,2025-07-20
561,407,3,hogar,127.34,2025-08-25
562,128,2,deportes,44.38,2025-06-04
563,1,2,mercado,34.56,2025-01-20
564,479,3,mercado,71.75,2025-07-25
565,97,1,ropa,174.27,2025-09-25
566,10,5,electronica,285.62,2025-01-06
567,687,2,electronica,336.5,2025-02-20
568,117,2,ropa,134.54,2025-11-10
569,305,2,hogar,118.76,2025-09-12
570,244,1,electronica,162.89,2025-05-11
571,534,1,hogar,188.02,2025-11-15
572,724,1,electronica,84.89,2025-04-28
573,152,2,deportes,73.68,2025-02-02
574,679,3,libros,71.91,2025-07-25
575,659,3,mercado,26.03,2025-07-23
576,609,4,electronica,11.26,2025-05-02
577,652,2,ropa,42.85,2025-01-27
578,588,1,electronica,92.78,2025-09-17
579,675,1,ropa,8.44,2025-01-22
580,577,1,ropa,87.46,2025-06-15
581,325,6,deportes,86.99,2025-06-05
582,131,7,juguetes,18.04,2025-05-12
583,415,2,electronica,104.2,2025-09-12
584,336,2,hogar,6.01,2025-08-16
585,145,4,deportes,20.06,2025-06-22
586,365,2,juguetes,23.4,2025-04-19
587,726,2,electronica,83.56,2025-02-21
588,768,1,deportes,221.39,2025-04-28
589,300,4,hogar,88.94,2025-09-06
590,187,2,electronica,45.14,2025-09-11
591,458,2,hogar,73.88,2025-06-17
592,238,3,hogar,7.22,2025-06-19
593,493,3,deportes,202.82,2025-11-23
594,353,1,libros,21.68,2025-03-03
595,171,4,deportes,13.2,2025-11-16
596,528,2,electronica,55.41,2025-09-20
597,632,2,mercado,30.58,2025-01-17
598,17,1,electronica,216.04,2025-04-20
599,719,2,mercado,72.05,2025-11-25
600,356,2,juguetes,69.99,2025-04-09
601,21,2,mercado,17.3,2025-02-19
602,333,1,electronica,755.26,2025-02-26
603,164,6,mercado,88.73,2025-08-19
604,365,1,libros,89.84,2025-02-26
605,544,2,mercado,5.27,2025-08-27
606,35,2,electronica,117.46,2025-09-04
607,300,1,mercado,106.45,2025-06-26
608,658,1,mercado,44.62,2025-12-05
609,206,1,hogar,79.16,2025-03-21
610,267,1,mercado,13.05,2025-10-26
611,549,3,hogar,163.99,2025-07-05
612,7,2,electronica,207.04,2025-09-07
613,694,6,ropa,12.08,2025-02-25
614,561,1,electronica,44.63,2025-09-06
615,502,1,electronica,970.12,2025-02-24
616,5,2,deportes,12.25,2025-11-16
617,461,1,ropa,48.15,2025-03-02
618,134,1,hogar,37.31,2025-12-28
619,517,3,ropa,127.75,2025-04-15
620,417,2,hogar,92.16,2025-02-13
621,554,1,mercado,34.25,2025-09-01
622,149,1,ropa,55.22,2025-01-23
623,651,1,hogar,381.72,2025-08-16
624,443,2,juguetes,28.58,2025-04-02
625,575,1,electronica,990.29,2025-06-21
626,143,1,hogar,44.85,2025-03-08
627,693,1,libros,18.19,2025-04-11
628,542,2,electronica,358.44,2025-08-07
629,118,2,hogar,46.31,2025-11-16
630,699,2,electronica,100.5,2025-01-15
631,442,1,electronica,227.72,2025-01-12
632,42,3,mercado,82.4,2025-12-27
633,477,2,ropa,39.43,2025-10-25
634,302,1,ropa,21.67,2025-01-24
635,601,7,libros,10.19,2025-09-07
636,405,3,electronica,98.56,2025-06-14
637,646,1,ropa,55.62,2025-05-08
638,714,1,juguetes,208.35,2025-02-03
639,300,2,ropa,146.69,2025-09-22
640,718,2,mercado,21.73,2025-12-24
641,453,3,electronica,2026.56,2025-09-23
642,370,2,libros,29.94,2025-09-24
643,333,2,hogar,253.36,2025-11-08
644,562,4,hogar,36.5,2025-04-03
645,215,1,electronica,164.53,2025-08-08
646,799,1,hogar,137.38,2025-12-12
647,547,1,mercado,101.6,2025-08-22
648,131,3,libros,13.69,2025-02-27
649,488,4,ropa,276.16,2025-02-21
650,75,3,deportes,32.03,2025-09-09
651,483,1,ropa,54.94,2025-08-13
652,21,6,electronica,607.68,2025-09-21
653,152,2,electronica,31.72,2025-12-28
654,416,4,libros,21.0,2025-09-24
655,386,2,mercado,54.99,2025-04-11
656,532,2,mercado,81.6,2025-09-08
657,31,2,deportes,158.85,2025-09-16
658,40,5,mercado,197.15,2025-09-14
659,7,1,hogar,208.82,2025-09-14
660,179,2,mercado,18.3,2025-12-15
661,106,1,electronica,30.99,2025-02-23
662,381,2,hogar,48.09,2025-07-19
663,388,1,deportes,511.77,2025-09-18
664,280,1,mercado,38.36,2025-07-16
